city,area,rooms,bathroom,parking_spaces,floor,animal_allowance,furniture,association_tax,rent_amount,property_tax,fire_insurance,total_rent
Bangalore,Doddabanahalli,4,7,6,-,acept,not furnished,0,36000,3792,543,40350
Bangalore,Kalena Agrahara,2,1,1,7,acept,not furnished,2355,7677,0,96,10128
Kolkata,Rajpur,3,2,2,4,not acept,not furnished,1050,4500,405,60,6015
Bangalore,Yelahanka New Town,1,1,0,-,not acept,not furnished,300,3000,228,39,3567
Bangalore,Bommenahalli,3,2,2,6,acept,not furnished,8400,33000,1449,420,43260
Chennai,Thiruvidandhai,2,1,1,4,not acept,not furnished,1905,3180,252,42,5379
Kolkata,birati,3,2,0,1,not acept,not furnished,1050,4500,213,60,5823
Bangalore,Hoodi,3,3,1,6,acept,furnished,6600,11700,1077,150,19527
Bangalore,Kodigehaali,3,6,4,18,acept,not furnished,7800,45000,4581,573,57960
Bangalore,Banashankari,4,5,2,-,acept,not furnished,0,15000,975,228,16203
Chennai,Perambur,2,1,0,-,acept,not furnished,1200,2550,78,33,3861
Chennai,Pammal,1,1,1,13,acept,not furnished,1425,2250,96,30,3801
Bangalore,Harlur,3,4,3,8,acept,not furnished,8700,21000,3675,267,33630
Kolkata,East Park,4,4,3,3,acept,not furnished,2100,8100,750,135,11085
Delhi,Safdarjung Enclave,2,1,0,4,acept,not furnished,1320,3600,0,48,4968
Mumbai,Bandra East,1,1,0,1,acept,not furnished,750,2370,63,36,3219
Kolkata,New Town,3,1,0,3,not acept,not furnished,825,3600,312,48,4785
Bangalore,Whitefield,1,1,1,-,not acept,not furnished,0,2700,63,42,2805
Bangalore,Venkatapura,5,6,5,-,not acept,not furnished,0,36000,2451,543,39000
Bangalore,Devanahalli,1,1,0,12,acept,not furnished,2610,7800,0,99,10509
Mumbai,Mahape,2,1,1,-,acept,not furnished,0,8400,165,150,8715
Delhi,Pitampura,1,1,0,4,acept,not furnished,1440,2940,0,39,4419
Mumbai,Kalwa,3,2,1,3,acept,not furnished,2700,7500,750,111,11061
Chennai,Sholinganallur,2,1,1,1,acept,not furnished,942,3000,0,39,3981
Bangalore,Anandapura,4,6,5,9,acept,not furnished,19980,45000,9189,573,74730
Bangalore,Narayanapura,3,3,2,-,acept,furnished,0,26136,3501,393,30030
Kolkata,Picnic Garden,2,1,1,1,acept,not furnished,690,3000,183,42,3915
Mumbai,Borivali West,3,1,1,2,acept,not furnished,1350,8100,249,120,9819
Delhi,Tilak Nagar,3,2,0,5,acept,not furnished,7500,15600,1785,204,25089
Kolkata,Jessore Road,1,1,0,-,not acept,furnished,1650,3300,0,45,4995
Bangalore,Marathahalli,3,5,2,12,not acept,furnished,6300,41700,2427,531,50970
Mumbai,Ulwe,1,1,1,3,acept,not furnished,1020,2700,150,42,3912
Bangalore,Uttarahalli,2,1,1,2,acept,furnished,4800,10500,564,135,15999
Bangalore,Dairy Circle,4,4,3,13,acept,not furnished,6600,18000,3000,231,27831
Chennai,Kelambakkam,1,1,1,1,not acept,not furnished,1800,6690,0,87,8577
Bangalore,Vidyaranyapura,4,4,5,-,acept,furnished,0,30000,2250,453,32700
Bangalore,Kanakpura Road,2,1,1,11,acept,furnished,1500,10200,69,132,11901
Mumbai,Mira Road East,1,1,1,7,acept,not furnished,750,2400,0,36,3186
Delhi,Saket,1,1,1,2,acept,not furnished,1710,2550,210,33,4503
Bangalore,HBR Layout,3,4,4,14,acept,not furnished,4500,8100,150,105,12855
Kolkata,Salt Lake City,3,4,4,-,acept,not furnished,0,8100,792,135,9027
Bangalore,Jalahalli,2,1,1,2,acept,not furnished,1500,4200,33,54,5787
Bangalore,Bhoganhalli,2,2,2,12,acept,furnished,1860,15000,672,192,17724
Bangalore,Sarjapur,1,1,0,-,acept,furnished,1806,5400,390,69,7665
Bangalore,Doddakallasandra,3,1,1,6,not acept,not furnished,6000,11400,1044,147,18591
Bangalore,Neeladri Nagar,3,4,2,10,acept,furnished,7800,18000,1500,231,27531
Chennai,Sholinganallur,2,1,1,7,acept,not furnished,1458,2700,222,36,4416
Bangalore,Anekal,2,2,1,6,acept,not furnished,3000,9000,150,117,12267
Bangalore,Electronics City Phase 1,4,4,0,9,acept,furnished,3900,9525,2361,123,15909
Bangalore,Uttarahalli,3,5,2,4,not acept,not furnished,10380,36000,3000,459,49830
Chennai,Guduvancheri,2,1,1,7,acept,not furnished,810,2850,129,39,3828
Chennai,Thirupporur,2,1,1,3,not acept,not furnished,735,3000,75,39,3849
Delhi,Westend,5,6,0,-,acept,not furnished,0,26100,2010,399,28509
Bangalore,Mysore Road,1,1,1,1,acept,not furnished,2100,4200,426,54,6780
Bangalore,Electronic City Phase II,1,1,0,-,not acept,not furnished,0,2100,177,33,2310
Delhi,Rohini sector 16,2,2,0,4,not acept,furnished,4080,9540,816,123,14559
Bangalore,8th Phase JP Nagar,1,1,1,7,acept,furnished,4500,9000,876,117,14493
Bangalore,Horamavu Agara,1,1,2,7,not acept,furnished,3900,11874,726,153,16653
Delhi,Sector 22 Dwarka,2,1,0,3,acept,furnished,3000,7200,615,93,10908
Chennai,Vandalur,1,1,1,5,acept,not furnished,1554,2700,135,36,4425
Bangalore,BTM 1st Stage,3,3,1,9,acept,furnished,6750,21000,1260,267,29277
Bangalore,Kanakapura,3,4,1,10,acept,not furnished,6900,30000,1752,381,39030
Delhi,Palam,3,2,1,3,acept,furnished,4020,15600,756,204,20580
Bangalore,9th Phase JP Nagar,1,1,0,8,not acept,not furnished,852,4950,0,63,5865
Kolkata,Brahmapur Road,3,2,1,3,acept,not furnished,1089,7800,429,105,9423
Bangalore,Garudachar Palya,3,1,0,-,not acept,not furnished,0,4680,375,72,5127
Delhi,Badarpur,3,1,0,2,acept,not furnished,3900,10500,0,138,14538
Bangalore,Uttarahalli,2,1,2,-,acept,not furnished,0,6000,54,93,6147
Mumbai,Powai,1,1,1,3,not acept,furnished,1200,6600,0,99,7899
Delhi,Sector 9 Dwarka,2,2,2,3,acept,furnished,13485,16500,1911,213,32100
Bangalore,Electronic City Phase II,1,1,0,-,acept,not furnished,0,3000,63,39,3102
Bangalore,Bisuvanahalli,8,4,0,-,acept,not furnished,1350,31500,1050,474,34380
Bangalore,Vishwapriya Layout,4,4,4,9,acept,not furnished,8250,24000,5250,306,37800
Chennai,Pallikaranai,3,1,1,4,acept,not furnished,924,2442,147,33,3546
Bangalore,Jakkur,4,4,2,-,acept,not furnished,0,10500,945,159,11604
Bangalore,Channasandra,1,2,1,6,acept,not furnished,2430,9030,48,117,11625
Bangalore,Budigere,2,1,1,15,acept,not furnished,1560,6840,27,87,8514
Kolkata,Tollygunge,4,1,2,4,acept,not furnished,1035,7500,627,102,9264
Bangalore,KR Puram,2,1,1,14,acept,not furnished,1260,4197,0,54,5511
Chennai,Sholinganallur,1,1,1,-,acept,not furnished,0,3900,90,60,4050
Bangalore,Gollarapalya Hosahalli,4,2,2,2,acept,not furnished,4500,7500,0,96,12096
Mumbai,Ghatkopar West,2,2,1,7,acept,not furnished,1350,4200,201,63,5814
Chennai,Kelambakkam,2,1,1,2,acept,not furnished,1350,4650,249,60,6309
Delhi,Sector 11 Rohini,1,1,0,-,acept,not furnished,0,2100,0,30,2130
Bangalore,Sahakara Nagar,1,1,2,14,acept,furnished,2610,23700,450,303,27063
Bangalore,Kaggadasapura,1,1,1,4,not acept,not furnished,3600,7050,453,90,11193
Bangalore,Hebbal,4,2,6,-,acept,not furnished,0,15000,1374,228,16602
Bangalore,Kothanur,2,2,2,5,acept,not furnished,2073,7200,309,93,9675
Bangalore,Jigani,5,7,7,-,acept,not furnished,0,34500,16500,519,51510
Kolkata,Sonarpur,5,5,4,-,acept,not furnished,0,13500,810,222,14532
Kolkata,Sodepur,3,2,1,5,acept,not furnished,1461,3840,327,54,5682
Bangalore,Cunningham Road,4,6,4,11,acept,not furnished,12930,7707,7251,99,27987
Kolkata,Paschim Barisha,5,3,2,2,acept,not furnished,4329,8700,1224,117,14370
Bangalore,Ramamurthy Nagar,2,1,1,5,not acept,not furnished,2244,6000,0,78,8322
Bangalore,Yelahanka,1,1,0,-,not acept,not furnished,90,2340,51,36,2517
Bangalore,Uttarahalli,2,1,1,19,acept,not furnished,2220,3900,0,51,6171
Bangalore,Yelahanka New Town,1,1,0,7,acept,not furnished,2670,8100,534,105,11409
Bangalore,Whitefield,1,1,1,6,acept,not furnished,3615,13500,753,174,18042
Bangalore,Kereguddadahalli,2,2,1,4,acept,not furnished,2121,13188,459,168,15936
Mumbai,Kalyan West,1,1,0,2,acept,not furnished,660,2700,66,42,3468
Bangalore,Thanisandra,3,3,3,-,acept,not furnished,0,21000,2211,318,23529
Bangalore,Sector 7 HSR Layout,4,5,4,4,acept,not furnished,5700,24000,2145,306,32160
Bangalore,Lavelle Road,3,4,2,17,not acept,furnished,7200,28500,3576,363,39630
Bangalore,7th Phase JP Nagar,1,1,1,10,not acept,furnished,4800,5400,531,69,10800
Bangalore,Bisuvanahalli,4,4,0,20,acept,not furnished,3600,14880,5250,189,23919
Bangalore,ITPL,4,3,5,-,acept,furnished,5700,42000,10602,633,58950
Delhi,Kundli,2,2,1,3,acept,not furnished,3300,4500,1026,60,8886
Bangalore,Hennur,1,1,2,8,acept,furnished,6000,24000,651,306,30960
Bangalore,Chikkalasandra,3,6,4,-,not acept,not furnished,0,19500,0,294,19794
Bangalore,Kasavanhalli,3,4,3,8,acept,not furnished,4092,6600,1209,84,11985
Delhi,Uttam Nagar,2,1,1,3,acept,furnished,7500,24000,975,312,32790
Bangalore,Sarjapur  Road,2,1,2,-,not acept,not furnished,0,4200,255,66,4521
Bangalore,Hennur,2,1,1,2,acept,not furnished,1509,2955,0,39,4503
Bangalore,Singasandra,1,1,0,12,acept,not furnished,870,4590,180,60,5700
Bangalore,Hebbal,4,4,3,5,not acept,furnished,13023,24000,2664,306,39990
Bangalore,Raja Rajeshwari Nagar,1,1,0,-,not acept,not furnished,0,5400,303,84,5787
Bangalore,Sector 2 HSR Layout,1,1,1,4,not acept,furnished,1950,6600,354,84,8988
Delhi,Kailash Colony,1,1,1,11,acept,not furnished,1440,4260,1077,57,6834
Mumbai,Kharghar,1,1,0,6,acept,furnished,900,4170,102,63,5235
Bangalore,Raja Rajeshwari Nagar,1,1,0,-,not acept,not furnished,0,2340,120,36,2496
Kolkata,Barrackpore,1,1,1,-,acept,furnished,0,3300,0,45,3345
Bangalore,Hebbal,4,5,0,14,acept,not furnished,10176,23640,4698,300,38820
Bangalore,Yelahanka New Town,1,1,1,6,acept,not furnished,2268,6750,342,87,9447
Bangalore,Dodda Nekkundi,3,3,4,9,acept,not furnished,6000,15000,1752,192,22944
Mumbai,Goregaon West,3,1,1,11,acept,furnished,3000,13335,498,195,17028
Bangalore,Somasundara Palya,1,1,0,16,not acept,not furnished,990,4725,0,60,5775
Bangalore,Begur Road,4,2,3,-,acept,furnished,0,15600,2115,237,17952
Bangalore,Kasturi Nagar,3,3,3,8,acept,not furnished,5040,6375,1125,81,12621
Bangalore,Jalahalli,2,2,1,4,acept,not furnished,2070,7500,15,96,9681
Bangalore,Thanisandra,2,4,3,16,acept,not furnished,12063,37500,4005,477,54060
Kolkata,East Park,4,2,4,1,not acept,not furnished,2925,9000,1143,120,13188
Mumbai,Mira Road East,2,1,0,13,acept,furnished,1464,4200,123,63,5850
Mumbai,Kharghar,3,1,0,3,acept,not furnished,795,4650,93,69,5607
Delhi,Dwarka Mor,2,1,1,3,acept,not furnished,2850,11400,375,147,14772
Bangalore,Gottigere,2,1,1,3,acept,not furnished,1875,3300,9,42,5226
Bangalore,Jalahalli,3,1,1,5,acept,not furnished,1512,4500,159,60,6231
Bangalore,Basaveshwara Nagar,1,1,3,2,not acept,furnished,3300,32100,1050,408,36870
Bangalore,7th Phase JP Nagar,1,1,1,2,acept,furnished,3000,5280,501,69,8850
Kolkata,Tollygunge,3,2,5,-,not acept,not furnished,0,12000,612,198,12810
Delhi,Neb Sarai,1,1,0,12,acept,furnished,1050,5100,201,66,6417
Bangalore,Hennur Road,2,2,2,1,acept,not furnished,3600,5751,825,75,10251
Bangalore,Rayasandra,3,3,1,8,acept,not furnished,6450,21000,1476,267,29193
Bangalore,Marathahalli,4,5,4,19,acept,not furnished,9450,11400,4890,147,25887
Delhi,Matiala,2,1,1,2,acept,not furnished,2046,3300,180,45,5571
Bangalore,Murugeshpalya,4,6,5,14,not acept,furnished,12000,23220,4752,297,40260
Bangalore,Bannerghatta Road,2,3,2,19,acept,furnished,0,29760,0,378,30150
Mumbai,Santacruz East,2,1,0,2,acept,not furnished,840,4140,96,63,5139
Chennai,Medavakkam,2,2,1,-,acept,not furnished,0,4500,123,69,4692
Bangalore,KR Puram,2,1,1,1,acept,furnished,900,6600,252,84,7836
Bangalore,Kanakpura Road,1,1,2,2,not acept,not furnished,10194,5700,864,75,16833
Delhi,Sector 5 Dwarka,2,2,1,7,acept,not furnished,2100,6900,18,90,9108
Mumbai,Prabhadevi,1,2,1,9,acept,not furnished,1200,8400,201,123,9924
Bangalore,Bommasandra,2,2,1,-,acept,not furnished,0,8925,570,135,9630
Bangalore,8th Phase JP Nagar,2,1,1,7,acept,not furnished,1848,3600,195,48,5691
Bangalore,Sarjapur,1,1,0,5,acept,furnished,1806,5400,390,69,7665
Delhi,Sarvodaya Enclave,2,2,1,10,acept,not furnished,4350,9600,600,126,14676
Bangalore,Yelahanka,2,1,0,11,acept,not furnished,1578,7500,387,96,9561
Bangalore,Thanisandra,3,2,1,9,acept,not furnished,6300,25500,1251,324,33390
Bangalore,Yelahanka,1,1,1,16,acept,furnished,1860,10500,276,135,12771
Delhi,Vasant Kunj,3,2,1,9,acept,not furnished,2100,6150,180,81,8511
Chennai,Maraimalai Nagar,2,1,0,2,acept,not furnished,900,2100,300,27,3327
Delhi,Uttam Nagar,2,1,0,3,acept,not furnished,2613,1800,282,24,4719
Bangalore,Ananth Nagar,1,1,2,29,not acept,not furnished,3900,26100,1251,333,31590
Bangalore,Brookefield,3,2,0,6,acept,not furnished,3480,3720,285,48,7533
Delhi,Niti Bagh,3,4,1,11,not acept,not furnished,6600,17400,876,225,25101
Delhi,Hauz Khas,3,1,0,3,not acept,not furnished,7350,12300,1422,159,21231
Bangalore,Electronic City Phase II,1,1,0,6,acept,furnished,1350,5100,0,66,6516
Bangalore,Bannerghatta Road,2,1,4,-,acept,not furnished,0,6000,621,93,6714
Chennai,New perungalathur,6,3,4,-,acept,not furnished,0,6000,435,93,6528
Bangalore,Thanisandra,5,3,2,1,acept,not furnished,4440,27000,777,345,32550
Kolkata,Howrah,3,1,1,2,acept,not furnished,660,2550,177,36,3423
Bangalore,Rajaji Nagar,3,2,1,1,acept,not furnished,3600,13500,300,174,17574
Kolkata,Tollygunge,4,4,2,5,acept,furnished,2700,12300,1500,165,16665
Kolkata,Garia,2,2,1,-,not acept,not furnished,0,5115,183,42,5340
Kolkata,Noapara,1,1,0,20,not acept,not furnished,480,2550,180,36,3246
Bangalore,Chikkabanavar,2,1,1,1,acept,not furnished,1845,5250,270,69,7434
Bangalore,8th Phase JP Nagar,1,1,1,11,acept,not furnished,2190,6300,114,81,8685
Bangalore,Vishwapriya Layout,4,5,4,6,acept,furnished,600000,60000,5502,762,666300
Kolkata,Garia,2,3,2,5,acept,not furnished,2940,8400,1050,114,12504
Bangalore,Panathur,2,2,1,6,acept,furnished,3600,15900,201,204,19905
Bangalore,Singasandra,1,1,0,-,acept,not furnished,750,3300,0,42,4092
Bangalore,Rajaji Nagar,2,2,0,6,acept,not furnished,4029,11922,213,153,16317
Kolkata,Narendrapur,4,3,2,1,acept,not furnished,0,9750,0,132,9882
Mumbai,Virar,2,1,0,2,acept,not furnished,222,3120,126,48,3516
Bangalore,Jigani,4,5,8,-,acept,not furnished,0,45000,5550,678,51240
Kolkata,Sonarpur,6,4,6,-,acept,not furnished,0,16500,627,273,17400
Delhi,Dwarka Mor,2,1,1,5,not acept,not furnished,1800,9000,501,117,11418
Mumbai,Thane West,1,1,0,5,acept,not furnished,1200,2850,300,42,4392
Kolkata,south dum dum,2,1,1,1,acept,not furnished,1500,2250,240,30,4020
Bangalore,HBR Layout,3,3,1,13,acept,not furnished,4500,13860,900,177,19437
Kolkata,south dum dum,2,2,2,7,acept,not furnished,912,4200,300,57,5469
Bangalore,Uttarahalli,2,1,1,6,acept,not furnished,1200,4500,0,60,5760
Kolkata,Kamardanga,3,5,8,-,acept,not furnished,2400,30000,606,492,33510
Bangalore,Kalyan nagar,1,1,0,3,acept,furnished,1350,6060,0,78,7488
Mumbai,Khar,3,3,0,5,acept,not furnished,3885,3375,627,51,7938
Bangalore,Hennur Road,2,2,1,3,acept,not furnished,3000,9000,150,117,12267
Bangalore,Balagere,3,4,2,3,acept,not furnished,12561,45000,4350,573,62490
Delhi,Uttam Nagar,2,2,1,2,acept,furnished,2997,9000,354,117,12468
Mumbai,Dahisar,2,2,1,2,acept,not furnished,1200,5400,246,81,6927
Bangalore,Koramangala,1,1,0,9,not acept,furnished,1131,10350,0,132,11613
Delhi,vikaspuri,1,1,0,2,acept,not furnished,1452,4500,78,60,6090
Bangalore,7th Phase JP Nagar,2,1,1,1,acept,not furnished,528,3900,192,51,4671
Bangalore,Hormavu,3,2,2,-,not acept,not furnished,0,9000,150,138,9288
Bangalore,Ramakrishnappa Layout,5,3,5,-,acept,not furnished,0,39000,6750,588,46350
Chennai,Medavakkam,3,1,0,6,acept,not furnished,1500,3000,90,39,4629
Bangalore,Horamavu Agara,2,1,0,3,acept,not furnished,750,5400,123,69,6342
Bangalore,Marathahalli,3,4,3,7,acept,furnished,9000,6000,3750,78,18828
Kolkata,Chinar Park,2,1,1,3,acept,not furnished,600,3000,75,42,3717
Bangalore,Jalahalli West,4,2,8,-,acept,not furnished,0,45000,7002,678,52680
Kolkata,Tollygunge,4,3,2,4,acept,not furnished,3492,12000,1134,162,16788
Kolkata,Salt Lake City,5,4,4,-,acept,not furnished,0,27000,1800,444,29244
Bangalore,TC Palaya,1,1,0,1,not acept,not furnished,1014,3000,189,39,4242
Chennai,Medavakkam,3,1,4,-,acept,not furnished,0,16500,0,249,16749
Bangalore,Binny Pete,3,3,2,1,acept,furnished,6189,32700,2118,417,41430
Kolkata,Joka,4,3,3,8,acept,not furnished,6177,15000,1605,201,22983
Delhi,Sector 8 Rohini,1,1,0,5,not acept,not furnished,960,4620,0,60,5640
Bangalore,Raja Rajeshwari Nagar,1,1,0,-,not acept,not furnished,0,1500,0,24,1524
Bangalore,Malleshwaram,2,2,0,10,acept,not furnished,2460,4500,210,60,7230
Chennai,Moolacheri,3,2,2,12,acept,not furnished,2100,6750,525,87,9462
Mumbai,Worli,3,2,1,4,acept,not furnished,1590,3900,144,57,5691
Mumbai,Wadala,1,1,0,6,acept,furnished,1290,6660,252,99,8301
Bangalore,Marathahalli,3,4,1,-,acept,not furnished,0,13500,1626,204,15330
Kolkata,Ganguly Bagan,2,1,1,2,acept,not furnished,510,4200,36,57,4803
Kolkata,Lake Town,4,1,3,-,not acept,not furnished,0,6450,0,108,6558
Bangalore,Thanisandra,2,2,6,-,acept,not furnished,0,13500,876,204,14580
Bangalore,Devanahalli,3,2,1,4,not acept,not furnished,1596,6819,0,87,8502
Bangalore,Gunjur,3,2,1,7,acept,not furnished,5361,32550,1596,414,39930
Delhi,Chattarpur,2,1,1,8,not acept,not furnished,1680,3000,1500,39,6219
Bangalore,Raja Rajeshwari Nagar,1,1,0,15,acept,not furnished,918,6000,0,78,6996
Bangalore,Ramamurthy Nagar,3,2,0,12,not acept,furnished,2400,6708,192,87,9387
Kolkata,Tangra,2,1,1,2,not acept,not furnished,750,3600,201,48,4599
Bangalore,7th Phase JP Nagar,1,1,0,2,not acept,not furnished,450,2250,0,30,2730
Delhi,Burari,1,1,0,5,acept,not furnished,1461,7500,165,99,9225
Bangalore,Kumaraswami Layout,3,1,2,5,acept,not furnished,2835,12900,900,165,16800
Bangalore,Basavangudi,3,2,1,8,acept,furnished,1740,7200,186,93,9219
Bangalore,Electronics City Phase 1,3,4,3,-,acept,furnished,0,28050,0,423,28473
Mumbai,Kalyan East,4,3,0,-,acept,not furnished,0,9900,2400,177,12477
Bangalore,Banashankari Stage V,3,4,3,20,not acept,not furnished,6012,28500,1752,363,36630
Bangalore,Whitefield,2,2,1,10,acept,not furnished,1872,8100,246,105,10323
Kolkata,Madhyamgram Municipality Ward 22,3,4,8,-,acept,not furnished,0,19500,2190,321,22011
Bangalore,Sarjapur  Road,3,2,1,7,acept,not furnished,2400,8400,201,108,11109
Bangalore,Lingadheeranahalli,3,2,2,6,acept,furnished,6300,16320,1752,207,24579
Bangalore,TC Palaya,1,1,0,14,acept,not furnished,1500,11997,0,153,13650
Chennai,Ambattur INDUSTRIAL ESTATE,3,2,0,-,not acept,not furnished,0,6000,0,93,6093
Mumbai,Thane West,2,1,1,4,not acept,not furnished,810,2106,0,33,2949
Bangalore,Narayanapura,4,6,3,6,not acept,not furnished,7200,7500,3852,96,18648
Bangalore,Budigere,2,2,1,8,not acept,not furnished,1800,7200,375,93,9468
Chennai,Kundrathur,2,1,8,-,acept,not furnished,0,13650,1215,207,15072
Bangalore,KR Puram,1,1,1,2,acept,furnished,2370,12600,672,162,15804
Bangalore,Bannerghatta,3,2,2,7,acept,not furnished,2412,11070,951,141,14574
Bangalore,Kanakpura Road,2,1,1,6,acept,not furnished,2280,5370,210,69,7929
Bangalore,Begur Road,4,4,1,19,acept,not furnished,5400,16500,1950,210,24060
Delhi,Uttam Nagar west,1,1,0,10,not acept,not furnished,1494,3600,240,48,5382
Bangalore,Raja Rajeshwari Nagar,1,1,0,3,acept,furnished,1440,7500,180,96,9216
Kolkata,VIP Road,3,1,1,3,acept,not furnished,600,3000,195,42,3837
Delhi,Rohini sector 24,3,1,1,2,acept,not furnished,2400,4200,126,57,6783
Bangalore,Hebbal,3,4,0,1,acept,furnished,6000,30000,5001,381,41370
Bangalore,Thigalarapalya,4,5,2,1,acept,furnished,11400,25500,0,324,37230
Bangalore,Chandapura,2,2,2,7,acept,not furnished,4500,18000,1500,231,24231
Bangalore,Hulimavu,1,1,1,25,acept,not furnished,1413,6600,165,84,8262
Bangalore,Neeladri Nagar,4,4,3,2,acept,not furnished,15000,19800,5034,252,40080
Mumbai,Ambernath East,2,2,1,6,acept,not furnished,1350,5700,201,84,7335
Bangalore,Old Madras Road,3,3,3,16,acept,not furnished,8400,39000,2877,495,50760
Bangalore,Electronic City,2,1,0,-,not acept,not furnished,0,3300,75,51,3426
Kolkata,Picnic Garden,2,2,1,6,acept,not furnished,3315,3300,357,45,7017
Bangalore,Judicial Layout,4,3,3,14,acept,not furnished,9900,17340,1320,222,28782
Bangalore,Kumaraswami Layout,2,1,0,5,acept,not furnished,4500,6600,201,84,11385
Delhi,Lajpat Nagar,3,2,3,2,acept,not furnished,0,7290,114,96,7500
Bangalore,Ananth Nagar,3,2,1,14,not acept,not furnished,3390,10800,180,138,14508
Chennai,Aminjikarai,5,7,8,-,acept,not furnished,0,42000,2001,633,44640
Mumbai,Bhandup West,2,2,2,-,acept,not furnished,360,6600,477,99,7536
Chennai,Pammal,1,1,1,-,not acept,furnished,0,3000,0,48,3048
Bangalore,Arekere,4,3,3,7,not acept,not furnished,7800,30000,4008,381,42180
Bangalore,Raja Rajeshwari Nagar,1,1,0,7,not acept,not furnished,1233,3240,105,42,4620
Bangalore,Koramangala,2,1,1,8,acept,not furnished,1635,5160,0,66,6861
Kolkata,Mankundu,2,1,1,3,acept,not furnished,600,2850,0,39,3489
Bangalore,Dasarahalli,2,3,1,-,acept,furnished,1080,17100,612,219,19011
Bangalore,Hormavu,3,2,4,6,acept,not furnished,11034,4500,3390,60,18984
Bangalore,Amruthahalli,2,3,2,16,acept,furnished,3300,7128,1002,114,11544
Kolkata,Rajarhat,3,2,1,-,acept,not furnished,0,43500,1269,714,45480
Mumbai,Bhandup West,2,3,2,3,acept,furnished,1050,7800,300,114,9264
Bangalore,Bannerghatta Road,3,2,1,7,acept,furnished,4200,9840,375,126,14541
Delhi,Uttam Nagar west,1,1,0,6,acept,not furnished,1440,3000,0,39,4479
Kolkata,New Town AA 3,3,4,4,15,acept,not furnished,7695,39000,4311,522,51540
Bangalore,Thanisandra,3,3,2,8,acept,not furnished,7500,36000,2502,459,46470
Kolkata,Tollygunge,2,4,3,12,acept,not furnished,5691,45000,2481,600,53760
Kolkata,Sreerampur,3,2,3,3,acept,furnished,1758,8250,1053,111,11172
Kolkata,Tollygunge,4,3,2,-,acept,not furnished,0,10200,2139,168,12507
Kolkata,Howrah,2,1,1,3,acept,not furnished,1698,3300,252,45,5295
Bangalore,Hosur Road,2,2,0,21,acept,furnished,4656,27000,1125,345,33120
Delhi,Pitampura,1,1,0,5,acept,not furnished,2250,3000,102,39,5391
Delhi,Sector 19 Dwarka,2,2,0,1,acept,not furnished,2553,5490,276,72,8391
Bangalore,Sarjapur  Road,2,1,1,1,acept,not furnished,1452,3300,60,42,4854
Bangalore,Sarjapur,1,1,0,-,acept,furnished,1806,5400,390,69,7665
Bangalore,Thanisandra,3,2,3,-,acept,not furnished,0,10800,753,165,11718
Bangalore,7th Phase JP Nagar,1,1,0,1,not acept,not furnished,0,3300,0,51,3351
Kolkata,Baranagar,4,3,2,5,acept,not furnished,2289,6900,690,93,9972
Bangalore,Hoodi,3,2,3,13,acept,furnished,3300,24000,501,306,28107
Bangalore,Marathahalli,3,3,8,-,acept,not furnished,0,14025,1200,213,15438
Delhi,Patel Nagar,3,2,1,1,acept,not furnished,3000,10500,60,138,13698
Chennai,Sholinganallur,2,1,1,3,acept,not furnished,942,3000,0,39,3981
Bangalore,Hennur,1,1,0,1,acept,furnished,2304,7800,198,99,10401
Bangalore,Yelahanka,1,1,1,13,not acept,furnished,4320,5670,510,72,10572
Chennai,Ambattur,3,1,1,4,acept,not furnished,2490,3600,75,15,6180
Mumbai,Parel,4,3,5,-,acept,not furnished,0,7500,360,135,7995
Bangalore,GM Palaya,2,3,1,8,not acept,furnished,3828,9690,147,123,13788
Mumbai,Andheri West,2,2,1,9,acept,not furnished,1050,5400,225,81,6756
Bangalore,Electronic City Phase II,1,1,0,-,not acept,not furnished,0,1950,114,27,2091
Bangalore,Medahalli,4,5,3,10,not acept,not furnished,9600,25500,3501,324,38940
Mumbai,Andheri East,2,1,0,1,acept,not furnished,900,4059,231,60,5250
Bangalore,Subramanyapura,2,2,0,12,acept,not furnished,2241,4500,0,60,6801
Bangalore,Bellandur,3,3,1,14,acept,not furnished,5040,15000,576,192,20808
Bangalore,Electronics City Phase 1,3,3,2,-,acept,not furnished,0,12600,1026,192,13818
Bangalore,Sanjay nagar,1,1,0,11,acept,not furnished,1755,6000,0,78,7833
Bangalore,7th Phase JP Nagar,2,1,0,2,not acept,not furnished,1050,4500,150,60,5760
Bangalore,Rachenahalli,2,1,1,2,acept,not furnished,510,3300,0,42,3852
Kolkata,Mohan Pur,5,6,3,-,acept,not furnished,0,42000,3891,690,46590
Delhi,Sheikh Sarai,1,1,0,14,not acept,not furnished,1620,2640,303,36,4599
Mumbai,Dombivali,2,2,1,6,acept,not furnished,600,3900,750,57,5307
Bangalore,Kanakapura,3,5,4,22,acept,not furnished,6990,10905,4932,141,22968
Chennai,Besant Nagar,2,1,1,7,not acept,not furnished,1455,2940,180,39,4614
Mumbai,Goregaon East,1,1,1,11,acept,not furnished,1116,8100,0,120,9336
Bangalore,Thigalarapalya,4,4,3,5,acept,furnished,8400,15000,2751,192,26343
Bangalore,Kanakpura Road,2,2,1,22,not acept,furnished,1650,12000,0,153,13803
Bangalore,Varthur,2,2,2,6,not acept,not furnished,3000,9690,690,123,13503
Bangalore,Sarjapur,1,1,0,5,acept,furnished,1806,5400,390,69,7665
