Crop,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arecanut,Whole Year ,Tamil Nadu,5077.0,7390,1034.0,550042.18,1066.17,1.55
Arhar/Tur,Kharif     ,Tamil Nadu,43416.0,28979,1034.0,4703689.44,9117.36,0.6684
Cardamom,Whole Year ,Tamil Nadu,4936.0,450,1034.0,534766.24,1036.56,0.071818182
Castor seed,Kharif     ,Tamil Nadu,8269.0,2598,1034.0,895863.46,1736.49,0.3392
Coriander,Whole Year ,Tamil Nadu,19350.0,8391,1034.0,2096379.0,4063.5,0.4236
Garlic,Whole Year ,Tamil Nadu,443.0,2632,1034.0,47994.62,93.03,5.854
Gram,Rabi       ,Tamil Nadu,6420.0,3942,1034.0,695542.8,1348.2,0.545
Niger seed,Kharif     ,Tamil Nadu,1239.0,0,1034.0,134233.26,260.19,0.0
Rapeseed &Mustard,Rabi       ,Tamil Nadu,452.0,109,1034.0,48969.68,94.92,0.25
Small millets,Kharif     ,Tamil Nadu,50576.0,42869,1034.0,5479403.84,10620.96,0.8724
Sunflower,Kharif     ,Tamil Nadu,18152.0,19303,1034.0,1966587.68,3811.92,1.002962963
Turmeric,Whole Year ,Tamil Nadu,21616.0,118447,1034.0,2341877.44,4539.36,5.096071429
Arecanut,Whole Year ,Andhra Pradesh,293.0,234,1075.5,35136.56,61.53,0.8025
Bajra,Rabi       ,Andhra Pradesh,12107.0,9751,1075.5,1451871.44,2542.47,0.952307692
Coriander,Whole Year ,Andhra Pradesh,28114.0,12725,1075.5,3371430.88,5903.94,0.503333333
Dry chillies,Rabi       ,Andhra Pradesh,43815.0,120617,1075.5,5254294.8,9201.15,2.799090909
Garlic,Whole Year ,Andhra Pradesh,800.0,0,1075.5,95936.0,168.0,0.0
Ginger,Whole Year ,Andhra Pradesh,2161.0,16456,1075.5,259147.12,453.81,5.812222222
Horse-gram,Kharif     ,Andhra Pradesh,9919.0,4917,1075.5,1189486.48,2082.99,0.43
Horse-gram,Rabi       ,Andhra Pradesh,46703.0,16110,1075.5,5600623.76,9807.63,0.32
Linseed,Rabi       ,Andhra Pradesh,3845.0,1435,1075.5,461092.4,807.45,0.371666667
Niger seed,Kharif     ,Andhra Pradesh,15748.0,6097,1075.5,1888500.16,3307.08,0.465
Other  Rabi pulses,Rabi       ,Andhra Pradesh,16032.0,6755,1075.5,1922557.44,3366.72,0.401666667
Other Kharif pulses,Kharif     ,Andhra Pradesh,14585.0,3836,1075.5,1749033.2,3062.85,0.274666667
Ragi,Kharif     ,Andhra Pradesh,56576.0,62947,1075.5,6784593.92,11880.96,1.316428571
Ragi,Rabi       ,Andhra Pradesh,9031.0,16398,1075.5,1082997.52,1896.51,1.785384615
Rapeseed &Mustard,Rabi       ,Andhra Pradesh,5660.0,2568,1075.5,678747.2,1188.6,0.2825
Safflower,Rabi       ,Andhra Pradesh,17654.0,8094,1075.5,2117067.68,3707.34,0.415454545
Sesamum,Rabi       ,Andhra Pradesh,37284.0,12802,1075.5,4471097.28,7829.64,0.360526316
Small millets,Kharif     ,Andhra Pradesh,43674.0,26264,1075.5,5237386.08,9171.54,0.6
Small millets,Rabi       ,Andhra Pradesh,438.0,314,1075.5,52524.96,91.98,0.855
Wheat,Rabi       ,Andhra Pradesh,11109.0,8891,1075.5,1332191.28,2332.89,0.774
Bajra,Rabi       ,Karnataka,78.0,104,1316.2,9353.76,16.38,1.33
Bajra,Summer     ,Karnataka,917.0,1089,1316.2,109966.64,192.57,1.22
Black pepper,Whole Year ,Karnataka,14797.0,32414,1316.2,1774456.24,3107.37,2.199230769
Cardamom,Whole Year ,Karnataka,19814.0,1127,1316.2,2376094.88,4160.94,0.05875
Castor seed,Kharif     ,Karnataka,24981.0,25989,1316.2,2995721.52,5246.01,1.086666667
Coriander,Whole Year ,Karnataka,9163.0,1398,1316.2,1098826.96,1924.23,0.125714286
Dry chillies,Rabi       ,Karnataka,2911.0,4729,1316.2,349087.12,611.31,1.676538462
Dry chillies,Summer     ,Karnataka,6715.0,17719,1316.2,805262.8,1410.15,2.696923077
Garlic,Whole Year ,Karnataka,4931.0,3485,1316.2,591325.52,1035.51,1.287333333
Jowar,Summer     ,Karnataka,5708.0,9669,1316.2,684503.36,1198.68,1.587142857
Linseed,Rabi       ,Karnataka,13154.0,4384,1316.2,1577427.68,2762.34,0.316666667
Maize,Summer     ,Karnataka,11990.0,37005,1316.2,1437840.8,2517.9,3.096666667
Mesta,Whole Year ,Karnataka,2097.0,2662,1316.2,251472.24,440.37,1.568
Moong(Green Gram),Rabi       ,Karnataka,7658.0,2255,1316.2,918347.36,1608.18,0.29125
Niger seed,Kharif     ,Karnataka,33184.0,6366,1316.2,3979425.28,6968.64,0.212173913
Other  Rabi pulses,Rabi       ,Karnataka,29137.0,3475,1316.2,3494109.04,6118.77,0.118888889
Peas & beans (Pulses),Kharif     ,Karnataka,4174.0,25514,1316.2,500546.08,876.54,5.612105263
Peas & beans (Pulses),Summer     ,Karnataka,525.0,2655,1316.2,62958.0,110.25,5.036875
Ragi,Rabi       ,Karnataka,46323.0,86771,1316.2,5555054.16,9727.83,2.493076923
Ragi,Summer     ,Karnataka,8323.0,18176,1316.2,998094.16,1747.83,2.144285714
Rapeseed &Mustard,Rabi       ,Karnataka,6739.0,1800,1316.2,808140.88,1415.19,0.227142857
Rice,Rabi       ,Karnataka,44944.0,97483,1316.2,5389684.48,9438.24,2.2675
Sannhamp,Whole Year ,Karnataka,205.0,46,1316.2,24583.6,43.05,0.215
Small millets,Kharif     ,Karnataka,52273.0,26918,1316.2,6268578.16,10977.33,0.5485
Sunflower,Summer     ,Karnataka,43473.0,33718,1316.2,5213282.16,9129.33,0.829047619
Sweet potato,Whole Year ,Karnataka,3356.0,27360,1316.2,402451.52,704.76,6.076153846
Turmeric,Whole Year ,Karnataka,6346.0,33891,1316.2,761012.32,1332.66,5.556363636
Urad,Rabi       ,Karnataka,10445.0,5001,1316.2,1252564.4,2193.45,0.473333333
Arecanut,Whole Year ,Tamil Nadu,4773.0,9198,1364.1,572378.16,1002.33,1.212727273
Arhar/Tur,Kharif     ,Tamil Nadu,37769.0,20400,1364.1,4529258.48,7931.49,0.6375
Black pepper,Whole Year ,Tamil Nadu,3745.0,851,1364.1,449100.4,786.45,0.173076923
Cardamom,Whole Year ,Tamil Nadu,4887.0,448,1364.1,586049.04,1026.27,0.072727273
Castor seed,Kharif     ,Tamil Nadu,8391.0,2777,1364.1,1006248.72,1762.11,0.313333333
Coriander,Whole Year ,Tamil Nadu,21062.0,6424,1364.1,2525755.04,4423.02,0.296956522
Dry chillies,Whole Year ,Tamil Nadu,49033.0,31830,1364.1,5880037.36,10296.93,0.797241379
Garlic,Whole Year ,Tamil Nadu,428.0,2561,1364.1,51325.76,89.88,5.854
Gram,Rabi       ,Tamil Nadu,5907.0,4007,1364.1,708367.44,1240.47,0.493125
Horse-gram,Kharif     ,Tamil Nadu,60415.0,22023,1364.1,7244966.8,12687.15,0.3724
Mesta,Kharif     ,Tamil Nadu,1.0,0,1364.1,119.92,0.21,0.0
Niger seed,Kharif     ,Tamil Nadu,638.0,0,1364.1,76508.96,133.98,0.0
Rapeseed &Mustard,Rabi       ,Tamil Nadu,528.0,130,1364.1,63317.76,110.88,0.25
Sannhamp,Kharif     ,Tamil Nadu,10.0,0,1364.1,1199.2,2.1,0.0
Small millets,Kharif     ,Tamil Nadu,40366.0,30071,1364.1,4840690.72,8476.86,0.77375
Soyabean,Kharif     ,Tamil Nadu,630.0,0,1364.1,75549.6,132.3,0.0
Sunflower,Kharif     ,Tamil Nadu,17056.0,21148,1364.1,2045355.52,3581.76,1.18037037
Tobacco,Whole Year ,Tamil Nadu,5102.0,7792,1364.1,611831.84,1071.42,1.451
Turmeric,Whole Year ,Tamil Nadu,25970.0,143358,1364.1,3114322.4,5453.7,5.547037037
Arecanut,Kharif     ,Puducherry,63.0,82,1434.5875,8045.73,13.86,1.3
Arecanut,Whole Year ,Puducherry,63.0,82,1434.5875,8045.73,13.86,1.3
Black pepper,Kharif     ,Puducherry,12.0,7,1434.5875,1532.52,2.64,0.58
Cotton(lint),Summer     ,Puducherry,57.0,40,1434.5875,7279.47,12.54,0.75
Dry chillies,Kharif     ,Puducherry,1.0,2,1434.5875,127.71,0.22,2.0
Dry chillies,Rabi       ,Puducherry,4.0,8,1434.5875,510.84,0.88,2.0
Dry chillies,Summer     ,Puducherry,4.0,10,1434.5875,510.84,0.88,2.335
Groundnut,Rabi       ,Puducherry,697.0,1427,1434.5875,89013.87,153.34,1.6
Jowar,Summer     ,Puducherry,4.0,7,1434.5875,510.84,0.88,1.75
Onion,Rabi       ,Puducherry,1.0,4,1434.5875,127.71,0.22,4.0
Onion,Summer     ,Puducherry,2.0,10,1434.5875,255.42,0.44,5.0
Rice,Kharif     ,Puducherry,5010.0,13285,1434.5875,639827.1,1102.2,2.64
Rice,Rabi       ,Puducherry,12061.0,33581,1434.5875,1540310.31,2653.42,4.05
Rice,Summer     ,Puducherry,4574.0,13942,1434.5875,584145.54,1006.28,3.05
Sesamum,Rabi       ,Puducherry,134.0,88,1434.5875,17113.14,29.48,0.5
Arecanut,Whole Year ,Andhra Pradesh,255.0,176,845.2,32566.05,56.1,0.685
Arhar/Tur,Rabi       ,Andhra Pradesh,5606.0,3174,845.2,715942.26,1233.32,0.433333333
Bajra,Kharif     ,Andhra Pradesh,48995.0,39988,845.2,6257151.45,10778.9,0.7375
Bajra,Rabi       ,Andhra Pradesh,12081.0,6986,845.2,1542864.51,2657.82,0.824545455
Coriander,Whole Year ,Andhra Pradesh,25375.0,10061,845.2,3240641.25,5582.5,0.495
Dry chillies,Rabi       ,Andhra Pradesh,49069.0,155979,845.2,6266601.99,10795.18,3.181363636
Ginger,Whole Year ,Andhra Pradesh,2439.0,10301,845.2,311484.69,536.58,3.558
Horse-gram,Kharif     ,Andhra Pradesh,10311.0,4554,845.2,1316817.81,2268.42,0.435
Horse-gram,Rabi       ,Andhra Pradesh,53703.0,25476,845.2,6858410.13,11814.66,0.4105
Linseed,Rabi       ,Andhra Pradesh,2830.0,777,845.2,361419.3,622.6,0.266
Niger seed,Kharif     ,Andhra Pradesh,14547.0,5334,845.2,1857797.37,3200.34,0.4225
Other  Rabi pulses,Rabi       ,Andhra Pradesh,14792.0,5811,845.2,1889086.32,3254.24,0.443125
Other Kharif pulses,Kharif     ,Andhra Pradesh,10190.0,3106,845.2,1301364.9,2241.8,0.298666667
Ragi,Kharif     ,Andhra Pradesh,50702.0,50883,845.2,6475152.42,11154.44,1.205
Ragi,Rabi       ,Andhra Pradesh,8220.0,13611,845.2,1049776.2,1808.4,1.621818182
Rapeseed &Mustard,Rabi       ,Andhra Pradesh,5387.0,2780,845.2,687973.77,1185.14,0.285
Safflower,Rabi       ,Andhra Pradesh,14302.0,8994,845.2,1826508.42,3146.44,0.50125
Sesamum,Rabi       ,Andhra Pradesh,34163.0,10521,845.2,4362956.73,7515.86,0.311
Small millets,Kharif     ,Andhra Pradesh,33676.0,17007,845.2,4300761.96,7408.72,0.5475
Small millets,Rabi       ,Andhra Pradesh,360.0,225,845.2,45975.6,79.2,0.6225
Wheat,Rabi       ,Andhra Pradesh,10016.0,8796,845.2,1279143.36,2203.52,0.68
Bajra,Rabi       ,Karnataka,44.0,43,1146.3,5619.24,9.68,0.95
Bajra,Summer     ,Karnataka,1236.0,1415,1146.3,157849.56,271.92,0.81
Black pepper,Whole Year ,Karnataka,13726.0,29025,1146.3,1752947.46,3019.72,2.216
Cardamom,Whole Year ,Karnataka,23827.0,1377,1146.3,3042946.17,5241.94,0.0575
Castor seed,Kharif     ,Karnataka,20230.0,16163,1146.3,2583573.3,4450.6,0.827727273
Coriander,Whole Year ,Karnataka,5998.0,888,1146.3,766004.58,1319.56,0.113157895
Garlic,Whole Year ,Karnataka,6615.0,4401,1146.3,844801.65,1455.3,1.276666667
Jowar,Summer     ,Karnataka,4797.0,7207,1146.3,612624.87,1055.34,1.466666667
Linseed,Rabi       ,Karnataka,12283.0,3759,1146.3,1568661.93,2702.26,0.325384615
Maize,Summer     ,Karnataka,15780.0,50467,1146.3,2015263.8,3471.6,3.203333333
Mesta,Whole Year ,Karnataka,1998.0,2667,1146.3,255164.58,439.56,1.543333333
Moong(Green Gram),Rabi       ,Karnataka,9041.0,2729,1146.3,1154626.11,1989.02,0.29375
Niger seed,Kharif     ,Karnataka,27426.0,5197,1146.3,3502574.46,6033.72,0.213043478
Other  Rabi pulses,Rabi       ,Karnataka,33685.0,8233,1146.3,4301911.35,7410.7,0.269259259
Ragi,Rabi       ,Karnataka,57571.0,65934,1146.3,7352392.41,12665.62,1.616153846
Ragi,Summer     ,Karnataka,7007.0,14714,1146.3,894863.97,1541.54,1.996153846
Rapeseed &Mustard,Kharif     ,Karnataka,3691.0,974,1146.3,471377.61,812.02,0.218235294
Rice,Rabi       ,Karnataka,44063.0,99796,1146.3,5627285.73,9693.86,2.335333333
Sannhamp,Whole Year ,Karnataka,25.0,5,1146.3,3192.75,5.5,0.136666667
Small millets,Kharif     ,Karnataka,39586.0,21403,1146.3,5055528.06,8708.92,0.442105263
Sunflower,Summer     ,Karnataka,51506.0,40829,1146.3,6577831.26,11331.32,0.877727273
Sweet potato,Whole Year ,Karnataka,3014.0,25028,1146.3,384917.94,663.08,6.240714286
Turmeric,Whole Year ,Karnataka,7477.0,37752,1146.3,954887.67,1644.94,4.7735
Urad,Rabi       ,Karnataka,10986.0,5776,1146.3,1403022.06,2416.92,0.520714286
Arecanut,Whole Year ,Tamil Nadu,5526.0,11904,927.9,705725.46,1215.72,1.603636364
Arhar/Tur,Whole Year ,Tamil Nadu,29127.0,21334,927.9,3719809.17,6407.94,0.744
Black pepper,Whole Year ,Tamil Nadu,3703.0,843,927.9,472910.13,814.66,0.186923077
Cardamom,Whole Year ,Tamil Nadu,4441.0,404,927.9,567160.11,977.02,0.0675
Castor seed,Whole Year ,Tamil Nadu,5289.0,1674,927.9,675458.19,1163.58,0.35375
Coriander,Whole Year ,Tamil Nadu,17425.0,5676,927.9,2225346.75,3833.5,0.321304348
Garlic,Whole Year ,Tamil Nadu,528.0,3139,927.9,67430.88,116.16,5.304
Gram,Whole Year ,Tamil Nadu,5933.0,3831,927.9,757703.43,1305.26,0.53
Horse-gram,Whole Year ,Tamil Nadu,55635.0,32549,927.9,7105145.85,12239.7,0.5884
Rapeseed &Mustard,Whole Year ,Tamil Nadu,344.0,80,927.9,43932.24,75.68,0.150769231
Sesamum,Whole Year ,Tamil Nadu,52624.0,27328,927.9,6720611.04,11577.28,0.491111111
Small millets,Kharif     ,Tamil Nadu,52702.0,61473,927.9,6730572.42,11594.44,1.057826087
Sunflower,Whole Year ,Tamil Nadu,26194.0,47884,927.9,3345235.74,5762.68,1.726538462
Tobacco,Whole Year ,Tamil Nadu,5041.0,7724,927.9,643786.11,1109.02,1.443333333
Turmeric,Whole Year ,Tamil Nadu,30528.0,175388,927.9,3898730.88,6716.16,5.748148148
Arecanut,Kharif     ,Puducherry,61.0,78,1434.5875,8137.4,9.76,1.28
Bajra,Kharif     ,Puducherry,64.0,133,1434.5875,8537.6,10.24,2.08
Black pepper,Kharif     ,Puducherry,12.0,7,1434.5875,1600.8,1.92,0.58
Coriander,Rabi       ,Puducherry,4.0,2,1434.5875,533.6,0.64,0.5
Cotton(lint),Summer     ,Puducherry,66.0,38,1434.5875,8804.4,10.56,0.615
Dry chillies,Kharif     ,Puducherry,1.0,1,1434.5875,133.4,0.16,1.0
Dry chillies,Rabi       ,Puducherry,1.0,1,1434.5875,133.4,0.16,1.0
Dry chillies,Summer     ,Puducherry,3.0,3,1434.5875,400.2,0.48,1.0
Groundnut,Kharif     ,Puducherry,29.0,53,1434.5875,3868.6,4.64,1.83
Groundnut,Rabi       ,Puducherry,622.0,1255,1434.5875,82974.8,99.52,1.51
Groundnut,Summer     ,Puducherry,113.0,197,1434.5875,15074.2,18.08,1.45
Jowar,Kharif     ,Puducherry,3.0,5,1434.5875,400.2,0.48,1.67
Moong(Green Gram),Summer     ,Puducherry,2183.0,272,1434.5875,291212.2,349.28,0.406666667
Other  Rabi pulses,Summer     ,Puducherry,36.0,33,1434.5875,4802.4,5.76,0.92
Ragi,Kharif     ,Puducherry,23.0,48,1434.5875,3068.2,3.68,1.57
Ragi,Rabi       ,Puducherry,3.0,6,1434.5875,400.2,0.48,2.0
Ragi,Summer     ,Puducherry,45.0,113,1434.5875,6003.0,7.2,2.51
Rice,Kharif     ,Puducherry,4379.0,12878,1434.5875,584158.6,700.64,2.986666667
Rice,Rabi       ,Puducherry,11411.0,28051,1434.5875,1522227.4,1825.76,3.02
Rice,Summer     ,Puducherry,4647.0,12395,1434.5875,619909.8,743.52,2.21
Sesamum,Kharif     ,Puducherry,14.0,11,1434.5875,1867.6,2.24,0.79
Sesamum,Rabi       ,Puducherry,21.0,17,1434.5875,2801.4,3.36,0.81
Sesamum,Summer     ,Puducherry,97.0,110,1434.5875,12939.8,15.52,0.825
Small millets,Kharif     ,Puducherry,2.0,1,1434.5875,266.8,0.32,0.5
Sunflower,Kharif     ,Puducherry,5.0,3,1434.5875,667.0,0.8,0.75
Sweet potato,Rabi       ,Puducherry,1.0,1,1434.5875,133.4,0.16,1.0
Turmeric,Rabi       ,Puducherry,4.0,6,1434.5875,533.6,0.64,1.5
Urad,Kharif     ,Puducherry,57.0,39,1434.5875,7603.8,9.12,0.68
Urad,Rabi       ,Puducherry,196.0,127,1434.5875,26146.4,31.36,0.61
Urad,Summer     ,Puducherry,2006.0,135,1434.5875,267600.4,320.96,0.393333333
Bajra,Rabi       ,Karnataka,439.0,506,1323.3,58562.6,70.24,0.83
Bajra,Summer     ,Karnataka,1584.0,1579,1323.3,211305.6,253.44,0.963333333
Black pepper,Whole Year ,Karnataka,16319.0,50867,1323.3,2176954.6,2611.04,3.124166667
Cardamom,Whole Year ,Karnataka,21187.0,1978,1323.3,2826345.8,3389.92,0.0625
Castor seed,Kharif     ,Karnataka,23387.0,15682,1323.3,3119825.8,3741.92,0.6725
Coriander,Whole Year ,Karnataka,6423.0,2242,1323.3,856828.2,1027.68,0.329545455
Dry chillies,Rabi       ,Karnataka,4273.0,7457,1323.3,570018.2,683.68,1.742307692
Dry chillies,Summer     ,Karnataka,6059.0,20508,1323.3,808270.6,969.44,3.404
Garlic,Whole Year ,Karnataka,6135.0,6340,1323.3,818409.0,981.6,1.284285714
Jowar,Summer     ,Karnataka,6054.0,11874,1323.3,807603.6,968.64,1.999166667
Linseed,Rabi       ,Karnataka,13766.0,5442,1323.3,1836384.4,2202.56,0.406153846
Maize,Summer     ,Karnataka,20026.0,64553,1323.3,2671468.4,3204.16,3.179259259
Mesta,Whole Year ,Karnataka,1861.0,2387,1323.3,248257.4,297.76,1.554
Moong(Green Gram),Rabi       ,Karnataka,9402.0,3069,1323.3,1254226.8,1504.32,0.344666667
Niger seed,Kharif     ,Karnataka,31244.0,11750,1323.3,4167949.6,4999.04,0.349166667
Other  Rabi pulses,Rabi       ,Karnataka,34421.0,9011,1323.3,4591761.4,5507.36,0.269642857
Potato,Kharif     ,Karnataka,54981.0,181310,1323.3,7334465.4,8796.96,5.07
Ragi,Rabi       ,Karnataka,37759.0,60891,1323.3,5037050.6,6041.44,1.866
Ragi,Summer     ,Karnataka,8132.0,16895,1323.3,1084808.8,1301.12,2.034
Rapeseed &Mustard,Kharif     ,Karnataka,3957.0,1438,1323.3,527863.8,633.12,0.341875
Rice,Rabi       ,Karnataka,40325.0,86756,1323.3,5379355.0,6452.0,2.255333333
Safflower,Rabi       ,Karnataka,70218.0,59222,1323.3,9367081.2,11234.88,0.817142857
Sannhamp,Whole Year ,Karnataka,400.0,99,1323.3,53360.0,64.0,0.243333333
Small millets,Kharif     ,Karnataka,35680.0,17571,1323.3,4759712.0,5708.8,0.465238095
Sunflower,Summer     ,Karnataka,48650.0,49675,1323.3,6489910.0,7784.0,1.057142857
Sweet potato,Whole Year ,Karnataka,2887.0,24141,1323.3,385125.8,461.92,6.37625
Urad,Rabi       ,Karnataka,10637.0,4124,1323.3,1418975.8,1701.92,0.367692308
Arecanut,Whole Year ,Tamil Nadu,5553.0,11739,1067.2,740770.2,888.48,2.057391304
Arhar/Tur,Whole Year ,Tamil Nadu,30057.0,21077,1067.2,4009603.8,4809.12,0.73375
Bajra,Whole Year ,Tamil Nadu,59798.0,85840,1067.2,7977053.2,9567.68,1.6084
Black pepper,Whole Year ,Tamil Nadu,3130.0,719,1067.2,417542.0,500.8,0.145333333
Cardamom,Whole Year ,Tamil Nadu,4404.0,402,1067.2,587493.6,704.64,0.078
Castor seed,Whole Year ,Tamil Nadu,5184.0,1624,1067.2,691545.6,829.44,0.344782609
Coriander,Whole Year ,Tamil Nadu,13288.0,5120,1067.2,1772619.2,2126.08,0.385909091
Dry chillies,Whole Year ,Tamil Nadu,67408.0,34084,1067.2,8992227.2,10785.28,0.627586207
Garlic,Whole Year ,Tamil Nadu,505.0,2994,1067.2,67367.0,80.8,5.763333333
Gram,Whole Year ,Tamil Nadu,6800.0,4587,1067.2,907120.0,1088.0,0.5575
Horse-gram,Whole Year ,Tamil Nadu,48448.0,21339,1067.2,6462963.2,7751.68,0.4488
Rapeseed &Mustard,Whole Year ,Tamil Nadu,275.0,67,1067.2,36685.0,44.0,0.204545455
Sesamum,Whole Year ,Tamil Nadu,74376.0,32201,1067.2,9921758.4,11900.16,0.434814815
Small millets,Kharif     ,Tamil Nadu,38240.0,37084,1067.2,5101216.0,6118.4,0.956956522
Sunflower,Whole Year ,Tamil Nadu,44177.0,70203,1067.2,5893211.8,7068.32,1.513076923
Tobacco,Whole Year ,Tamil Nadu,5903.0,9056,1067.2,787460.2,944.48,1.4625
Turmeric,Whole Year ,Tamil Nadu,27303.0,146008,1067.2,3642220.2,4368.48,5.253846154
Arecanut,Kharif     ,Puducherry,61.0,79,1434.5875,8725.44,5.49,1.3
Bajra,Kharif     ,Puducherry,34.0,58,1434.5875,4863.36,3.06,1.71
Bajra,Summer     ,Puducherry,21.0,42,1434.5875,3003.84,1.89,2.0
Black pepper,Kharif     ,Puducherry,12.0,8,1434.5875,1716.48,1.08,0.67
Cashewnut,Kharif     ,Puducherry,174.0,173,1434.5875,24888.96,15.66,0.943333333
Coriander,Rabi       ,Puducherry,2.0,1,1434.5875,286.08,0.18,0.5
Cotton(lint),Summer     ,Puducherry,48.0,39,1434.5875,6865.92,4.32,0.81
Dry chillies,Kharif     ,Puducherry,1.0,1,1434.5875,143.04,0.09,1.0
Dry chillies,Rabi       ,Puducherry,1.0,1,1434.5875,143.04,0.09,1.0
Dry chillies,Summer     ,Puducherry,1.0,1,1434.5875,143.04,0.09,1.0
Groundnut,Kharif     ,Puducherry,87.0,170,1434.5875,12444.48,7.83,1.95
Groundnut,Rabi       ,Puducherry,572.0,1276,1434.5875,81818.88,51.48,1.675
Groundnut,Summer     ,Puducherry,55.0,119,1434.5875,7867.2,4.95,1.595
Jowar,Kharif     ,Puducherry,2.0,3,1434.5875,286.08,0.18,1.5
Moong(Green Gram),Rabi       ,Puducherry,5.0,3,1434.5875,715.2,0.45,0.6
Moong(Green Gram),Summer     ,Puducherry,1220.0,233,1434.5875,174508.8,109.8,0.37
Other  Rabi pulses,Rabi       ,Puducherry,11.0,10,1434.5875,1573.44,0.99,0.91
Other  Rabi pulses,Summer     ,Puducherry,6.0,6,1434.5875,858.24,0.54,1.0
Other Kharif pulses,Kharif     ,Puducherry,1.0,1,1434.5875,143.04,0.09,1.0
Ragi,Kharif     ,Puducherry,21.0,52,1434.5875,3003.84,1.89,1.775
Ragi,Rabi       ,Puducherry,4.0,9,1434.5875,572.16,0.36,2.25
Ragi,Summer     ,Puducherry,14.0,42,1434.5875,2002.56,1.26,3.0
Rice,Kharif     ,Puducherry,4493.0,12290,1434.5875,642678.72,404.37,3.0
Rice,Rabi       ,Puducherry,11306.0,24163,1434.5875,1617210.24,1017.54,2.82
Rice,Summer     ,Puducherry,4981.0,14263,1434.5875,712482.24,448.29,2.125
Sesamum,Kharif     ,Puducherry,11.0,7,1434.5875,1573.44,0.99,0.64
Sesamum,Rabi       ,Puducherry,25.0,20,1434.5875,3576.0,2.25,0.8
Sesamum,Summer     ,Puducherry,144.0,153,1434.5875,20597.76,12.96,0.635
Small millets,Kharif     ,Puducherry,1.0,1,1434.5875,143.04,0.09,1.0
Sunflower,Kharif     ,Puducherry,3.0,2,1434.5875,429.12,0.27,0.67
Sweet potato,Rabi       ,Puducherry,1.0,1,1434.5875,143.04,0.09,1.0
Turmeric,Rabi       ,Puducherry,3.0,5,1434.5875,429.12,0.27,1.67
Urad,Kharif     ,Puducherry,21.0,16,1434.5875,3003.84,1.89,0.76
Urad,Rabi       ,Puducherry,124.0,79,1434.5875,17736.96,11.16,0.525
Urad,Summer     ,Puducherry,1214.0,266,1434.5875,173650.56,109.26,0.53
Arecanut,Whole Year ,Andhra Pradesh,359.0,265,944.6,51351.36,32.31,0.915
Arhar/Tur,Rabi       ,Andhra Pradesh,3466.0,1942,944.6,495776.64,311.94,0.56
Bajra,Kharif     ,Andhra Pradesh,49844.0,51316,944.6,7129685.76,4485.96,1.134375
Bajra,Rabi       ,Andhra Pradesh,9274.0,8873,944.6,1326552.96,834.66,1.1875
Coriander,Whole Year ,Andhra Pradesh,33439.0,15616,944.6,4783114.56,3009.51,0.585625
Dry chillies,Rabi       ,Andhra Pradesh,43347.0,157971,944.6,6200354.88,3901.23,3.225
Ginger,Whole Year ,Andhra Pradesh,2194.0,11684,944.6,313829.76,197.46,4.525555556
Horse-gram,Kharif     ,Andhra Pradesh,4963.0,2423,944.6,709907.52,446.67,0.489
Horse-gram,Rabi       ,Andhra Pradesh,34347.0,14062,944.6,4912994.88,3091.23,0.448095238
Linseed,Rabi       ,Andhra Pradesh,927.0,347,944.6,132598.08,83.43,0.384
Niger seed,Kharif     ,Andhra Pradesh,12494.0,5469,944.6,1787141.76,1124.46,0.4625
Other  Rabi pulses,Rabi       ,Andhra Pradesh,2415.0,3701,944.6,345441.6,217.35,1.066666667
Other Kharif pulses,Kharif     ,Andhra Pradesh,2634.0,1291,944.6,376767.36,237.06,0.5
Ragi,Kharif     ,Andhra Pradesh,44783.0,42929,944.6,6405760.32,4030.47,1.146153846
Ragi,Rabi       ,Andhra Pradesh,5238.0,8949,944.6,749243.52,471.42,1.703636364
Rapeseed &Mustard,Rabi       ,Andhra Pradesh,5885.0,3764,944.6,841790.4,529.65,0.646
Safflower,Rabi       ,Andhra Pradesh,12780.0,6398,944.6,1828051.2,1150.2,0.5
Sesamum,Kharif     ,Andhra Pradesh,46041.0,9634,944.6,6585704.64,4143.69,0.2495
Sesamum,Rabi       ,Andhra Pradesh,34296.0,9168,944.6,4905699.84,3086.64,0.252105263
Small millets,Kharif     ,Andhra Pradesh,30291.0,16315,944.6,4332824.64,2726.19,0.65
Small millets,Rabi       ,Andhra Pradesh,232.0,177,944.6,33185.28,20.88,0.763333333
Urad,Kharif     ,Andhra Pradesh,69015.0,40474,944.6,9871905.6,6211.35,0.460526316
Wheat,Rabi       ,Andhra Pradesh,13687.0,15421,944.6,1957788.48,1231.83,1.026666667
Bajra,Rabi       ,Karnataka,354.0,331,1164.1,50636.16,31.86,0.94
Bajra,Summer     ,Karnataka,1084.0,1249,1164.1,155055.36,97.56,0.955
Black pepper,Whole Year ,Karnataka,17451.0,73956,1164.1,2496191.04,1570.59,4.133571429
Cardamom,Whole Year ,Karnataka,19838.0,1992,1164.1,2837627.52,1785.42,0.067777778
Cashewnut,Whole Year ,Karnataka,62303.0,38311,1164.1,8911821.12,5607.27,0.605
Castor seed,Kharif     ,Karnataka,19635.0,18618,1164.1,2808590.4,1767.15,0.96826087
